"OA","Age_0_17","Age_18_29","Age_30_44","Age_45_64","Age_65_up","united_kingdom","ireland","other_eu","other_countries","no_cars","one_car","two_cars","three_and_more_cars","employed","unemployed","retired","white","asian","black_african","other_arab","all_english","notall_english","kids_english","no_english","single","married","divorced","lowest_quali","highest_quali","christian","jewish","muslim","no_religion","owned","shared","social_rent","private_rent","rent_free","males","females"
"E00014664",9.6,21.1,27.5,18,23.6,61.5,4.3,14.6,19.6,52.1,35.6,11,1.2,72.3,2.9,6.9,85.2,6.2,3.2,0.6,71.8,13.5,1.8,12.9,50.6,32.6,6.6,4,66.2,69.7,2.4,1.5,17.8,36.8,0,33.7,27,2.5,38.9,61.1
"E00014665",16.3,16.3,25.6,23.3,18.6,54.2,5.3,11.5,29.1,53.2,34.2,9.9,2.7,64.9,2.3,9.9,81.5,8.4,1.3,0.9,74.8,9.9,0.9,14.4,47.4,37,10.9,5.7,51.6,57.7,4,5.7,21.6,50.5,0,16.2,30.6,2.7,42.7,57.3
"E00014666",13.9,20.4,29.1,22.5,14.2,51.3,4,20.4,24.4,46.6,41.1,11,1.4,64.2,3.1,11.8,89.1,5.5,1.1,0.7,72.6,8.2,1.4,17.8,52.7,31.1,8.3,2.9,58.5,68.4,0.7,1.1,20,47.3,0,11,39,2.7,47.6,52.4
"E00014667",17.6,24.8,18.3,24.3,15.2,60.9,2.2,11.8,25.1,59.4,31.2,8.6,0.8,65.3,3.2,11.6,66.3,10,9.7,2.2,76.6,5.5,2.3,15.6,49.4,29.6,9.4,8.2,43.8,54.8,0,12.9,18.6,25,0.8,43.8,28.1,2.3,48,52
"E00014668",24.4,14,26.9,28.1,6.6,66.9,0,11.2,21.9,10.9,58.7,21.7,8.7,71.3,5,3.9,90.1,2.9,0.8,0,70.7,18.5,1.1,9.8,32.3,57.5,6.5,4.3,61.3,68.2,3.3,0,17.8,76.1,0,1.1,18.5,4.3,48.8,51.2
"E00014669",22.2,16.4,30.5,20.9,10,59.5,0.7,16,23.8,36.6,46.3,14.6,2.4,66.7,0.5,8,87,3,1.5,1.9,68.3,17.1,0.8,13.8,41,43.9,9,4.2,57.1,66.5,0.7,4.1,18.2,48.8,0,3.3,46.3,1.6,47.6,52.4
"E00014670",15.3,21.2,27.4,26.2,9.9,55.6,1.2,14.5,28.6,54.3,38.6,7.1,0,61.8,5,6,75.9,5.4,3.3,5,68.5,6.3,1.6,23.6,51.9,30.3,11.5,6.7,42.8,60.6,0.4,3.3,18.7,44.9,0,17.3,36.2,1.6,56,44
"E00014671",17.5,20.5,31.7,21.5,8.9,50,1.3,16.1,32.6,59.1,38.3,1.7,0.9,68.5,4.5,5.6,76.3,9.4,3.6,3.6,73,9.6,1.7,15.7,54,31.7,8.5,9,52.9,58.5,4.9,4.5,22.3,30.4,0,14.8,53,1.7,45.1,54.9
"E00014672",12.9,27.5,28,22.7,8.8,56.9,0.9,12.9,29.3,61.7,28.3,6.7,3.3,67.2,3.6,6.2,67.6,12.9,6.7,3.6,67.5,10.8,2.5,19.2,56,30,9.5,1,53,53.8,0.4,8.9,16.9,41.7,0,10,45,3.3,48,52
"E00014673",17,23.4,28.3,20.6,10.5,55.1,1.6,9.7,33.6,45.4,40.7,10.2,3.7,61.2,4,9,72.5,10.5,2.8,2.8,70.4,9.3,6.5,13.9,49.5,30.1,14.1,5.3,57.3,58.7,2.8,7.3,21.5,50.9,0,13.9,34.3,0.9,47.4,52.6
"E00175087",7.5,41.9,31.6,12.3,6.7,44,1.5,16.5,38,55.9,36,7.2,0.9,47.6,1.1,4.3,66.8,18.8,2.3,2.6,68.5,13.5,0,18,72.8,16.7,6.9,1.9,47.8,44.2,1.5,9.8,33.2,40.5,0,11.7,45.9,1.8,60.9,39.1
"E00175088",13.5,25.7,33.6,21.4,5.7,38.4,4.4,17,40.2,33.1,46.6,15.3,5.1,64.2,1,4.1,75.1,10,3.9,4.4,55.9,11.9,1.7,30.5,45.7,46.7,4.5,3.5,60.8,60.7,2.6,4.4,18.8,48.3,0,2.5,43.2,5.9,52.8,47.2
