"unique_id","price_paid","property_type","new_build","estate_type","oseast1m","osnrth1m"
"50C9E3A2-AC64-4084-8AA9-4A0F35DEA28B",720000,"F","N","L",526416,177094
"D8F3D431-C769-4F7C-B63F-EB6AC0A95B0C",1125000,"F","N","L",526145,177409
"9339BDB1-9015-4AFF-B17A-647C7E8842E5",306500,"F","N","L",526179,177385
"F24E90CA-9CC7-4BB7-A151-A8B87E4D9A2A",442250,"F","N","L",526158,177425
"5803044A-9630-48EB-8B6D-CAA2E047761F",2400000,"F","N","L",525966,177351
"9C02E708-702E-4919-8E6E-6342ED75DFDF",585000,"F","N","L",525938,177336
"B9CC4276-E4FC-4118-91F5-0F55D74F7C69",535000,"F","N","L",525938,177336
"F66F6AAE-C5CA-4469-AEE0-6843E08A9DD0",497500,"F","N","L",525938,177336
"9F14B59B-FF11-46F3-874E-DB1E98D852A0",2750000,"F","N","L",525952,177306
"2DFC2B58-8F16-4995-8C8A-1D43B3C2AE50",1400000,"F","N","L",525986,177284
"1357AE09-DBE9-4B2B-B9F4-75DFA8A0D1B5",1230000,"F","N","L",525986,177284
"886ABBAA-3F09-400C-8909-FAFE3BD5339A",499999,"F","N","L",526039,177278
"A8BDF5EE-01FF-4578-A018-0213E2935D98",333000,"F","N","L",526039,177278
"BF115ACD-D5DB-4333-9D8D-D40F23A3C8F4",385000,"F","N","L",526163,177254
"5D68BD21-FB09-4F7F-8452-2C63CB64D824",1345900,"T","N","F",526270,177157
"C449D8C9-2361-4BDB-9A2B-28940110CD39",395000,"F","N","L",526322,177173
"880F0B94-0475-4DE8-81FA-18AD9EE281D0",1275000,"T","N","F",526249,177131
"7E4110B5-B1B3-482B-A295-29292C034150",265000,"F","N","L",526213,177287
"08E1FC51-73A7-4AE6-8D26-2A17EC768C0E",1180000,"F","N","L",526223,177564
"333B1CFD-B541-4FAE-9BD6-FEBC0FD7EBB8",2850000,"S","N","F",526187,177528
"933C77C6-FDA0-4398-BD1B-0EA1E7B0B570",2000000,"S","N","F",526187,177528
"DE0E91BE-D3FF-44E7-BDA2-0A30373D84FD",4200000,"S","N","F",526187,177528
"4608B91A-71A5-4878-944F-CD30760A0CD0",465000,"F","N","L",526187,177528
"E50E42D8-EECA-4260-A62D-DD570240FBA7",445000,"F","N","L",526187,177528
"D1F9AA77-BAC3-4E6F-BF43-5C91CB7959B1",460000,"T","N","L",526237,177531
"AE092264-691D-47A9-AC6B-D7D2CC60F453",552500,"F","N","L",526237,177531
"86223C0F-5435-4892-9FF8-1B253FB66F4E",405000,"F","N","L",526235,177445
"DBB98CD2-9099-46FD-9E10-5BD6075985D8",2250000,"T","N","F",526284,177488
"60D9F765-9456-46E8-8330-3D90C6667E0A",350000,"F","N","L",526148,177487
"39F48347-2FB2-42AB-9AEE-A4150FEFB107",750000,"F","N","F",526148,177487
"672CD854-A43F-4753-9F3E-3A8F75EDEA05",635000,"F","N","L",526148,177487
"CBDFA4ED-639E-459F-8B22-3F767BC29011",345000,"F","N","L",526148,177487
"EAB3F04B-A391-44CA-9103-58873C386844",425000,"F","N","L",526148,177487
"DCFD346F-6709-42F3-95A2-94CA9890CAEF",357500,"T","N","L",526176,177510
"DA2B162F-30F3-44C3-A877-DB8536044488",332000,"F","N","L",526176,177510
"1D1F7212-B4C9-43B1-B6C4-AEC56EF759E2",395000,"F","N","L",526176,177510
"6F5C6C84-AF8A-4F05-A17D-6E815CDE6555",1395000,"F","N","L",526000,177635
"5262511D-5E31-464F-A3D8-D2947945F9D2",390000,"F","N","L",526000,177635
"5872E6A4-FA99-48D0-A450-B46D4CEFF530",423500,"F","N","L",526000,177635
"988DD4A7-3B55-4B3F-BC5C-4B23057B55C2",3100000,"T","N","F",525896,177735
"320113AD-94EA-453D-BE7F-EFD596A26B87",360000,"F","N","L",525896,177735
"4199246E-D55F-4C4D-9D39-96100FD319D6",383000,"F","N","L",525896,177735
"06B4A756-F839-40B1-BA3C-49F6D22B3FC9",452500,"F","N","L",525778,177878
"FB15E3B1-4ACC-41BF-9EE5-8564972632C6",340000,"F","N","L",525778,177878
"A8B75D0C-F6A7-49CD-9AAA-34CF05C7DF20",685000,"F","N","L",525778,177878
"77B00F4C-925A-47F4-9D97-6C179DEAF0BF",340000,"F","N","L",525778,177878
"2C1CDD65-AF47-487A-8C1C-592E41D4EB95",390000,"F","N","L",525668,178042
"2E0C9ED9-9559-4C1C-99E6-0B4EC2F8B2E8",375000,"F","N","L",525668,178042
"AAD4D1CE-2561-445B-AB24-1442B48A2D2D",350000,"F","N","L",525668,178042
"CEFB9152-E439-49D2-8DFA-3A005BDA9A71",810000,"F","N","L",525668,178042
"575F6AAA-7F5B-498D-B95A-9D931B7CD7BC",2335000,"T","N","F",525639,178163
"094E0E95-30D1-4A39-920A-34F97D84973E",515000,"F","N","L",525824,177868
"039CAB52-63A6-452F-926D-DDB531C78692",410000,"F","N","L",525824,177868
"C1716B13-5723-4B7E-B530-3BE98B3F2E35",410000,"F","N","L",525824,177868
"851CF434-56BF-469A-AC26-23ADEB53DE62",485000,"F","N","L",525824,177868
"34CE54AE-08E0-4828-9F73-AB228199A8A5",738500,"F","N","L",525885,177794
"D43533EB-4E67-43F8-9085-977425A16A99",393000,"F","N","L",525711,178043
"F7D58112-B7E3-4645-ADCB-A754E4089DBC",308000,"F","N","L",525711,178043
"5526A075-0D1D-4173-8039-B29065D5E55C",1060000,"F","N","L",525993,177690
"2612072B-0D91-4567-804C-BAB1F7B03BD0",235000,"F","N","L",526027,177651
"E1417CF5-33E2-44EA-9F4C-62928D6FFFE9",590000,"F","N","L",526027,177651
"F84238DB-F6DA-426A-B063-E1472CDB982B",400000,"F","N","L",526027,177651
"5A518FDA-5D81-4AE5-BDE8-83A23C1A86A4",335000,"F","N","L",526027,177651
"519CA9F7-2BD4-4F92-AE15-07871A3E02A5",425000,"F","N","L",526122,177774
"2ECE21BF-303C-413A-89D1-25CFB16D6EBE",550000,"F","N","L",526122,177774
"95BB64E8-ADCF-4E75-BE38-4CDDEA70D933",725000,"F","N","L",526078,177837
"11E427F8-4A5B-4AAB-A18B-C8E8D570BA34",745000,"F","N","L",526078,177837
"36E52E55-C320-4A95-9AB8-C989765264A4",850000,"F","N","L",525825,177967
"670386FD-2BA0-4CE7-A551-2D50395852BF",540000,"F","N","L",525825,177967
"726BF13A-60AC-0A46-E053-6C04A8C01D0D",990000,"F","N","L",525744,178063
"7BC9CB86-B30D-497D-B395-DC0AAA8B6EF8",792800,"F","N","L",525744,178063
"20F78E69-3096-4299-BA32-C246F88BBE9D",687000,"F","N","L",525744,178063
"EB5C8ED2-D080-4029-9FBC-E2393A96C50E",487500,"F","N","L",525744,178063
"2F225167-B65D-4EEB-9594-50F9DE934421",981000,"F","N","L",525744,178063
"5DD36228-9954-4DC7-9BEC-D3894C801A2F",500000,"F","N","L",525663,178194
"038519B5-7A3F-495C-A693-EAAB245487C3",465000,"F","N","L",525663,178194
"97D1AB45-8E47-421B-859F-B9C9BC7F1B74",500000,"F","N","L",525663,178194
"1EEAA3E9-1CB8-4028-A818-2EEED92D3300",425000,"F","N","L",525663,178194
"8F3B1BE8-A651-446C-B329-8A3455117418",630000,"F","N","L",525663,178194
"D1768FF1-FDD0-410D-96E6-048E1AA573D1",560000,"F","N","L",525663,178194
"1D51FAAA-A4AA-4D86-95E4-D51FDC9A93D8",645000,"F","N","L",525663,178194
"CD00BD9B-46B9-4562-8859-FAA36021D304",585000,"F","N","L",525663,178194
"8181A862-C5D8-4973-8834-B9F11DE6A586",650000,"F","N","L",525722,178179
"0794E0D4-F30B-45A0-A874-F79A03AD70EA",1700000,"F","N","L",525722,178179
"2D15A81F-60F5-4D98-997F-2058A3C8320D",680000,"F","N","L",525722,178179
"FE5987A8-E3D3-41D3-B630-C5A712202945",550000,"F","N","L",525722,178179
"1A8CA0CC-867C-4D47-8B0F-6770DEF30234",685000,"F","N","L",525722,178179
"EFF0ED7E-B8E4-4D77-8BAD-CE1B47193F93",1450000,"F","N","L",525857,177992
"DF1171E6-7580-49BD-B13C-56F1952D3190",850000,"F","N","L",525857,177992
"45C6905D-54DF-4356-B4D5-B74150EBCFC2",575000,"F","N","L",525857,177992
"30BA5D13-7823-43C7-816A-0171AEDA191A",440000,"F","N","L",525698,178142
"F4BB248D-5856-4575-AE87-9414D87D4227",675000,"F","N","L",525698,178142
"14042169-7A8C-4060-926F-F3607203356B",191890,"F","N","L",526084,177661
"CD4C8FB3-7EC2-417A-A42A-0EED5FBBACA8",185758,"F","N","L",526084,177661
"259E5546-A1D6-413F-8B7C-BAF8592B460F",191890,"F","N","L",526084,177661
"2A289E9C-F926-CDC8-E050-A8C063054829",545000,"F","N","L",526079,177723
"803960C2-E89B-4EB8-9C89-61481EDB4193",710000,"F","N","L",525925,177763
"DA6EADFE-71D2-4141-BD26-D2104A81909A",340000,"F","N","L",526051,177706
"81613ADD-C57A-468B-89DF-4D02AD79A4A3",275000,"F","N","L",526051,177706
"D6D1EB1B-B6FA-4BBD-B41B-C6E3EF89B531",880000,"F","N","L",526051,177706
"AE0600FB-E048-4B6E-A915-F8AC14E80280",163000,"F","N","L",526051,177706
"F4C26E15-C728-44C1-8DDC-31EE5ED10CCB",1375000,"F","N","L",526007,177790
"C430897A-E95E-4B24-AE51-7C8DA9997A48",545000,"F","N","L",526007,177790
"B431EDC1-817A-418D-91E4-C5C54B8010A9",210000,"F","N","L",525956,177809
"50129413-07F5-47F8-9ACB-ACF1FD2F28BE",305000,"F","N","L",525956,177809
"0C617F37-CA6D-48E3-B504-B0FC6B9D7A2D",418000,"F","N","L",525956,177809
"53B003F2-4BE0-4B4C-BB98-E22ADA6FF457",250000,"F","N","L",525938,177845
"40BA12FD-BF48-4218-990F-1144442DF6BC",374000,"F","N","L",525990,177778
"A72C09F2-4817-4729-90D2-4D86CB8620FB",335000,"F","N","L",525990,177778
"ED66543B-A2D3-4288-85C7-15CE267425BC",675000,"F","N","L",525892,177904
